번호,시퀀스,모델명,지역,가격,시세안심지수,번호판,연식,주행거리,연료,변속기,색상,사진
573,26713701,벤츠 AMG GT GT 4door 63 S 4MATIC+ 기본형,경기,"20,500만원",적정,251조5934,23년09월(23년형),52km,가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2671/26713701_29281478095712513.jpg?width=320
574,26713682,벤츠 AMG GT GT 4door 63 S 4MATIC+ 기본형,경기,"19,800만원",적정,352노4206,23년09월(23년형),45km,가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2671/26713682_29276511800429198.jpg?width=320
575,26713645,벤츠 AMG GT GT 4door 43 4MATIC+ Dynamic,경기,"11,450만원",적정,151부4522,23년12월(23년형),35km,하이브리드(가솔린),오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2671/26713645_29269923176056744.jpg?width=320
576,26675000,포르쉐 카이맨 (718) 2.5 GTS,대구,"6,580만원",적정,230보9404,18년06월(18년형),"54,870km",가솔린,오토,은색,https://img.kbchachacha.com/IMG/carimg/l/img07/img2667/26675000_28144551812300338.jpg?width=320
577,25079476,BMW 올 뉴 Z4 sDrive 20i M 스포츠 패키지,대구,"5,350만원",적정,261너3566,21년09월(21년형),"11,951km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img07/img2507/25079476_22672450567020958.jpg?width=320
578,26691128,포르쉐 718 박스터 2.5 S,인천,"4,540만원",적정,317다6554,17년05월(17년형),"68,219km",가솔린,오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img09/img2669/26691128_28584711512918572.jpeg?width=320
579,26735236,포드 올뉴머스탱 컨버터블 프리미엄,경기,"1,950만원",낮음,310고3894,17년12월(17년형),"96,140km",가솔린,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2673/26735236_30078039120711238.jpg?width=320
580,24956227,벤츠 AMG GT GT S,경기,"8,699만원",적정,185보8559,16년10월(16년형),"49,266km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2495/24956227_19660595224375733.jpeg?width=320
581,26659214,닛산 370Z 쿠페,인천,"2,300만원",낮음,13어0908,15년12월(16년형),"61,379km",가솔린,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2665/26659214_27704805545341549.jpeg?width=320
582,26699050,포드 올뉴머스탱 GT 쿠페 프리미엄,서울,"1,950만원",낮음,286소2461,20년11월(16년형),"104,000km",가솔린,오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img09/img2669/26699050_28749798527267078.jpg?width=320
583,26651137,BMW 올 뉴 Z4 sDrive 20i Sport,서울,"3,899만원",적정,69로5747,19년08월(19년형),"64,000km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2665/26651137_27534949280721780.jpg?width=320
584,26510058,벤츠 SLC클래스 (R172) SLC200,서울,"2,550만원",적정,245우8539,17년12월(17년형),"65,000km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2651/26510058_23819194208816253.jpg?width=320
585,25806635,벤츠 SLK클래스 SLK230K R170,서울,430만원,낮음,57거6843,02년12월(98년형),"223,241km",가솔린,오토,은색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2580/25806635_8344339954295243.jpg?width=320
586,23632442,재규어 XK8 컨버터블,서울,"2,400만원",낮음,64나4581,09년10월(99년형),"248,000km",가솔린,오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2363/23632442_4120673223777152.jpg?width=320
587,26747727,포르쉐 718 박스터 4.0 GTS,부산,"10,350만원",적정,207보8677,22년05월(22년형),"22,180km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2674/26747727_30467048107444303.jpeg?width=320
588,26747425,벤츠 AMG GT GT 4door 43 4MATIC+ 기본형,서울,"5,390만원",낮음,258너9277,20년05월(20년형),"90,832km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2674/26747425_30465668839451332.jpeg?width=320
589,26355581,포르쉐 718 박스터 4.0 GTS,경기,"11,950만원",낮음,123루2750,24년02월(24년형),433km,가솔린,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2635/26355581_20208345654938391.jpeg?width=320
590,26254634,벤츠 뉴 SLK클래스 SLK350 AMG,경기,"3,500만원",낮음,07모0180,14년09월(14년형),"54,000km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2625/26254634_18733567433057253.jpg?width=320
591,26452081,포드 머스탱 쿠페,경기,"1,040만원",적정,63소3053,11년06월(12년형),"103,203km",가솔린,오토,검정,https://img.kbchachacha.com/IMG/carimg/l/img05/img2645/26452081_22531213188837546.jpeg?width=320
592,26695571,BMW 올 뉴 Z4 M40i,경기,"5,150만원",낮음,114소6654,21년09월(21년형),"46,195km",가솔린,오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img09/img2669/26695571_28671375625131510.jpeg?width=320
593,26745508,포드 올뉴머스탱 컨버터블 프리미엄,경기,"1,799만원",적정,333너7660,15년08월(15년형),"134,137km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2674/26745508_30412287232942563.jpeg?width=320
594,26745328,포드 머스탱 쿠페,부산,"2,440만원",적정,315수6447,19년12월(19년형),"84,127km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2674/26745328_30406927514493819.jpeg?width=320
595,26745051,벤츠 뉴 SL클래스 SL500 R230,경남,"1,890만원",낮음,242구2322,08년02월(04년형),"147,594km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2674/26745051_30402704114913758.jpeg?width=320
596,26741096,렉서스 SC 430 컨버터블 Z40,서울,"1,990만원",낮음,05조4038,05년01월(05년형),"110,632km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2674/26741096_30305352952260079.jpg?width=320
597,26745028,포드 올뉴머스탱 쿠페 프리미엄,경기,"2,750만원",적정,283버7784,20년12월(20년형),"48,365km",가솔린,오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2674/26745028_30402479589383101.jpeg?width=320
598,26252800,포르쉐 718 박스터 2.5 S,경기,"4,695만원",적정,52수0211,16년09월(17년형),"116,000km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2625/26252800_17268225005534735.jpeg?width=320
599,25586823,벤츠 뉴 SLS AMG 로드스터,경기,"16,800만원",낮음,21도5223,12년02월(12년형),"40,290km",가솔린,오토,옵시디언블랙,https://img.kbchachacha.com/IMG/carimg/l/img08/img2558/25586823_3187291222119438.jpeg?width=320
600,26744734,벤츠 AMG GT GT C 로드스터,경기,"15,490만원",적정,133가9147,21년08월(21년형),"19,007km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2674/26744734_30399163739674225.jpeg?width=320
601,25543881,람보르기니 우라칸 EVO 5.2 LP640-2 Tecnica,서울,"37,900만원",적정,157무4755,23년09월(23년형),"3,353km",가솔린,오토,초록색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2554/25543881_2303190840679125.jpg?width=320
602,25325995,페라리 296 GTB 3.0 V6 기본형,서울,"48,900만원",적정,153두2244,23년06월(23년형),"4,506km",하이브리드(가솔린),오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2532/25325995_29161128628117924.jpg?width=320
603,26743503,BMW M시리즈 X5 M E70M,경기,"3,590만원",적정,33너0558,16년06월(16년형),"100,966km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2674/26743503_30149955973330716.jpeg?width=320
604,26437019,벤츠 SL클래스 SL600 R230,경기,"1,899만원",적정,14나1181,03년12월(03년형),"156,884km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2643/26437019_25205558493308329.jpg?width=320
605,26506422,포르쉐 뉴 911 카레라 4 GTS 991(15년~),경기,"9,699만원",낮음,65러5511,18년01월(18년형),"76,027km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2650/26506422_23741060283779162.jpg?width=320
606,26653446,포르쉐 911(992) Carrera 4 Cabriolet,경남,"14,690만원",적정,158저2968,20년07월(20년형),"39,437km",가솔린,오토,마이애미 블루,https://img.kbchachacha.com/IMG/carimg/l/img05/img2665/26653446_27567406046434716.jpg?width=320
607,25944903,미쯔비시 렌서에볼루션 10세대,경기,"2,590만원",낮음,48마9009,09년07월(09년형),"72,246km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2594/25944903_10592061169595670.jpeg?width=320
608,26068517,포르쉐 718 박스터 2.0,경기,"5,600만원",적정,230소6565,17년08월(17년형),"85,910km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img06/img2606/26068517_13121418338676539.jpeg?width=320
609,26741244,BMW M시리즈 M4 컨버터블 Competition M xDrive G82,서울,"9,500만원",낮음,296무3713,22년12월(23년형),"17,720km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2674/26741244_30319638481685650.jpg?width=320
610,26741217,벤츠 AMG GT GT 4door 43 4MATIC+ 기본형,경기,"6,450만원",적정,319두8668,20년04월(20년형),"84,593km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2674/26741217_30315389768316956.jpeg?width=320
611,25603563,벤츠 뉴 SLK클래스 SLK200 블루이피션시,경기,"1,999만원",적정,269너1934,14년03월(14년형),"77,395km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2560/25603563_3438751629552843.jpeg?width=320
612,26602876,포르쉐 718 박스터 4.0 GTS,경기,"7,990만원",적정,230수7260,21년08월(21년형),"13,457km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2660/26602876_26229354087681562.jpeg?width=320
613,26531298,마세라티 그란투리스모 4.2 V8 1세대(07~),경기,"2,950만원",적정,54더7500,12년06월(11년형),"52,947km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2653/26531298_24409918161367627.jpeg?width=320
614,26537529,벤츠 AMG GT GT,경기,"6,550만원",적정,31나1111,16년12월(16년형),"72,671km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2653/26537529_24514747564415222.jpeg?width=320
615,26691902,BMW M시리즈 M2 쿠페 M 퍼포먼스 스티어링 휠 에디션 F87,경남,"3,690만원",적정,14라1312,17년12월(17년형),"64,809km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img09/img2669/26691902_28594675658358577.jpeg?width=320
616,26738536,닛산 370Z 쿠페,경기,"1,670만원",적정,43저7222,09년11월(09년형),"101,355km",가솔린,오토,노랑색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2673/26738536_30144460127248721.jpeg?width=320
617,26411834,아우디 TT(8J) 쿠페 2.0 TFSI 8J,인천,490만원,낮음,33너4348,08년02월(07년형),"202,574km",가솔린,오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2641/26411834_21581421481098131.jpg?width=320
618,26519441,포드 머스탱 쿠페,경기,"1,800만원",적정,04누4409,17년05월(17년형),"100,921km",가솔린,오토,인기색상,https://img.kbchachacha.com/IMG/carimg/l/img01/img2651/26519441_24014645957410026.jpeg?width=320
619,26737695,벤츠 뉴 CL클래스 CL550 C216,경기,"2,200만원",낮음,55루9999,08년07월(07년형),"184,431km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2673/26737695_30131153640743767.jpeg?width=320
620,26737122,포드 올뉴머스탱 컨버터블 프리미엄,경기,"2,290만원",적정,135누3421,18년04월(18년형),"84,000km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2673/26737122_30123602166121548.jpeg?width=320
621,26052237,포드 올뉴머스탱 컨버터블 프리미엄,경기,"3,890만원",적정,224너9494,22년10월(22년형),"14,538km",가솔린,오토,보라색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2605/26052237_12865311451190515.jpg?width=320
622,26736317,포드 올뉴머스탱 컨버터블 프리미엄,경기,"2,100만원",낮음,09어3204,18년06월(18년형),"121,273km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2673/26736317_30113511632698338.jpeg?width=320
623,26678465,BMW M시리즈 X6 M G06 Competition (2020~),경기,"9,300만원",적정,377머8800,21년05월(21년형),"44,164km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img07/img2667/26678465_28221921558590003.jpeg?width=320
624,26736090,벤츠 AMG GT GT 4door 43 4MATIC+ 기본형,경기,"9,905만원",낮음,267러7676,21년07월(21년형),"53,238km",하이브리드(가솔린),오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2673/26736090_30110427125060965.jpeg?width=320
625,26736021,롤스로이스 레이스 6.6 기본형,경기,"19,500만원",적정,234도3000,15년02월(15년형),"49,464km",가솔린,오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2673/26736021_30109207523420726.jpeg?width=320
626,26735251,아우디 TT(8J) 쿠페 2.0 TFSI 8J,경기,660만원,적정,157구9595,08년08월(08년형),"186,656km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2673/26735251_30077165404342355.jpeg?width=320
627,26340000,포드 올뉴머스탱 컨버터블 프리미엄,경기,"2,800만원",적정,167부1203,20년01월(20년형),"107,346km",가솔린,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2634/26340000_19772286368209231.jpeg?width=320
628,26734541,BMW M시리즈 X4 M F98(19~),경기,"5,600만원",적정,180로9252,20년02월(20년형),"54,060km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2673/26734541_30053311250987080.jpeg?width=320
629,26656969,포르쉐 911(992) Targa 4S,경기,"25,500만원",낮음,187다9966,21년05월(21년형),"22,744km",가솔린,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2665/26656969_27637380157884274.jpeg?width=320
630,26733969,포드 올뉴머스탱 쿠페 프리미엄,경기,"2,600만원",적정,316노7531,19년10월(19년형),"67,609km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2673/26733969_30047412879774632.jpeg?width=320
631,26534075,BMW 8시리즈 (G15) M850i xDrive Gran Coupe 기본형,경기,"10,200만원",적정,226구8814,24년04월(24년형),"4,094km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2653/26534075_24436566114557905.jpeg?width=320
632,26733737,람보르기니 우라칸 EVO 5.2 LP640-4 Spyder,경기,"41,000만원",적정,159어8886,23년09월(23년형),"6,691km",가솔린,오토,초록색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2673/26733737_30044963769925522.jpeg?width=320
633,26733725,벤츠 AMG GT GT S,경기,"6,999만원",적정,39우7777,16년12월(16년형),"72,372km",가솔린,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2673/26733725_30044873899276440.jpeg?width=320
634,26733665,포르쉐 911(992) Carrera 4 GTS Cabriolet,서울,"22,999만원",적정,137다6760,23년10월(24년형),"2,687km",가솔린,오토,진주색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2673/26733665_30047879919407254.jpg?width=320
635,25673445,BMW M시리즈 M3 쿠페 E92M3,경기,"2,270만원",적정,07다0442,10년04월(10년형),"158,135km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img07/img2567/25673445_5172639401181836.jpeg?width=320
636,26729960,BMW M시리즈 M5 세단 Competition Edition,경남,"8,750만원",적정,179누7609,21년05월(21년형),"56,950km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2672/26729960_29962225215715738.jpg?width=320
637,26086804,벤츠 뉴 SLK클래스 SLK350 SLK350,경기,900만원,적정,08도5995,06년10월(06년형),"100,779km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img08/img2608/26086804_13552144009732169.jpeg?width=320
638,25656492,아우디 TT(8J) 쿠페 2.0 TFSI 8J,경기,750만원,낮음,30보0255,08년01월(08년형),"224,000km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2565/25656492_4565460220290405.jpg?width=320
639,26608670,애스턴마틴 뱅퀴시 6.0 V12 쿠페,경기,"9,500만원",적정,123부6000,15년05월(14년형),"47,622km",가솔린,오토,인기색상,https://img.kbchachacha.com/IMG/carimg/l/img10/img2660/26608670_26408965552042274.jpeg?width=320
640,26514975,포르쉐 뉴 911 카레라 991(12년~),대구,"7,160만원",적정,19라7730,14년02월(14년형),"54,486km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2651/26514975_23909794298076561.jpg?width=320
641,23065205,아우디 R8 5.2 V10 스파이더 (13년~),경기,"5,200만원",적정,37두3477,11년04월(11년형),"92,866km",가솔린,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img06/img2306/23065205_10523903535350246.jpg?width=320
642,26726801,BMW 8시리즈 (G15) 840d xDrive Gran Coupe M Sport Package,서울,"5,900만원",적정,102주4244,21년02월(21년형),"117,027km",하이브리드(디젤),오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2672/26726801_29886300637237873.jpg?width=320
643,26707693,BMW M시리즈 M3 세단 M 퍼포먼스 사일렌서 에디션 F80,서울,"4,390만원",적정,20도9050,17년03월(17년형),"79,164km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2670/26707693_28920786380742986.jpeg?width=320
644,26726748,BMW M시리즈 M4 쿠페 F82 (14~),경기,"2,870만원",낮음,239로8349,14년09월(15년형),"135,414km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2672/26726748_29881558759992414.jpeg?width=320
645,25140859,포르쉐 카이맨 (718) 4.0 GT4,서울,"12,299만원",적정,133너4599,23년04월(23년형),"4,591km",가솔린,오토,노랑색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2514/25140859_24075118928464804.jpg?width=320
646,26379059,포르쉐 718 박스터 4.0 GTS,서울,"12,480만원",적정,117마1051,24년01월(24년형),"7,091km",가솔린,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img07/img2637/26379059_20799001356525004.jpg?width=320
647,26392517,BMW M시리즈 M4 쿠페 Paintwork Edition (F82),서울,"3,550만원",적정,250마9100,16년07월(16년형),"109,488km",가솔린,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img09/img2639/26392517_21051556139510741.jpg?width=320
648,26395591,BMW 8시리즈 (G15) M850i xDrive Coupe 기본형,서울,"8,980만원",적정,394고1495,22년11월(23년형),"33,104km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img09/img2639/26395591_21145910156516379.jpg?width=320
649,26726194,BMW M시리즈 M5 세단 Competition Edition,경기,"12,199만원",적정,232저4646,23년09월(23년형),"21,968km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2672/26726194_29876321987601407.jpeg?width=320
650,26422706,BMW 올 뉴 Z4 sDrive 20i M Sport Performance Inno.,서울,"4,990만원",적정,174우4678,22년10월(22년형),"13,358km",가솔린,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2642/26422706_21757010859455433.jpg?width=320
651,26561752,벤츠 AMG GT GT 4door 43 4MATIC+ 기본형,서울,"11,400만원",적정,252너1973,23년12월(23년형),21km,하이브리드(가솔린),오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img06/img2656/26561752_25130425933433630.jpg?width=320
652,26559673,벤츠 AMG GT GT 4door 43 4MATIC+ 기본형,서울,"9,450만원",적정,226어1663,22년12월(23년형),"29,560km",하이브리드(가솔린),오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2655/26559673_25109376333344407.jpg?width=320
653,26678614,벤츠 AMG GT GT 4door 43 4MATIC+,서울,"8,300만원",적정,306모3091,21년09월(21년형),"50,811km",하이브리드(가솔린),오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img07/img2667/26678614_28227588338268781.jpg?width=320
654,26669405,벤츠 AMG GT GT 4door 43 4MATIC+,서울,"10,100만원",적정,153너3651,22년05월(22년형),"19,114km",하이브리드(가솔린),오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img06/img2666/26669405_28044333658943110.jpg?width=320
655,26651627,BMW 올 뉴 Z4 sDrive 20i M 스포츠 패키지,서울,"4,700만원",적정,381누3391,21년08월(21년형),"51,288km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2665/26651627_27539124778050658.jpg?width=320
656,26665471,포드 올뉴머스탱 컨버터블 프리미엄,서울,"4,030만원",적정,124저2944,22년09월(22년형),"19,173km",가솔린,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img06/img2666/26665471_27968551670984317.jpg?width=320
657,26725520,벤츠 뉴 SLK클래스 SLK200 블루이피션시,부산,"1,849만원",적정,43머7148,15년04월(15년형),"77,024km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2672/26725520_29871793118485267.jpeg?width=320
658,26718316,포르쉐 718 박스터 2.5 S,경기,"6,100만원",적정,246우9554,20년08월(20년형),"102,512km",가솔린,오토,노랑색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2671/26718316_29594725525985409.jpeg?width=320
659,25793752,벤츠 SL클래스 SL350 R230,경기,550만원,낮음,12저5252,08년04월(08년형),"233,684km",가솔린,오토,은색,https://img.kbchachacha.com/IMG/carimg/l/img09/img2579/25793752_7487004894519681.jpeg?width=320
660,26723869,BMW 8시리즈 (G15) 840i xDrive Coupe M Sport Package,경기,"9,430만원",낮음,387나6960,20년07월(20년형),"23,412km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2672/26723869_29850202014922706.jpeg?width=320
661,26636345,마쯔다 MX-5(ND) 로드스터 기본형,경기,"3,850만원",적정,345보8472,21년05월(21년형),"49,291km",가솔린,수동,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2663/26636345_27117094707380360.jpeg?width=320
662,26058418,BMW M시리즈 M5 세단 F10(12~),경기,"1,670만원",낮음,38구0158,13년11월(13년형),"142,160km",가솔린,오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2605/26058418_13033785340896416.jpeg?width=320
663,26722720,포르쉐 카이맨 (718) 2.0,경기,"4,650만원",낮음,128부7609,17년04월(17년형),"51,627km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2672/26722720_29795001347383496.jpeg?width=320
664,24999937,벤츠 CL클래스 CL500 C140,경기,"1,890만원",낮음,379수6432,03년09월(01년형),"199,289km",가솔린,오토,은색,https://img.kbchachacha.com/IMG/carimg/l/img09/img2499/24999937_20787560361265178.jpeg?width=320
665,26656975,도요타 86 2.0,경기,"2,950만원",적정,237어3834,20년03월(20년형),"55,265km",가솔린,수동,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2665/26656975_27637436507414642.jpeg?width=320
666,26722412,BMW 8시리즈 (G15) M850i xDrive Gran Coupe 기본형,경기,"10,150만원",적정,176우7816,24년02월(24년형),"3,806km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2672/26722412_29795870910614462.jpg?width=320
667,25858647,람보르기니 아벤타도르 S LP740-4,서울,"37,980만원",적정,05모8790,19년04월(18년형),"12,000km",가솔린,오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2585/25858647_8710279228367144.jpg?width=320
668,26152110,포르쉐 Taycan Turbo,서울,"14,480만원",낮음,14로1791,21년06월(21년형),"12,234km",전기,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2615/26152110_15017815902553304.jpg?width=320
669,26446074,포르쉐 박스터 2.7 987(05년~08년),경기,"3,890만원",적정,19라7658,14년02월(13년형),"73,916km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2644/26446074_22277432833360606.jpeg?width=320
670,26720819,벤츠 CLE클래스 (C236) CLE 200 카브리올레 기본형,경기,"7,990만원",적정,231소9069,24년08월(24년형),"7,308km",하이브리드(가솔린),오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2672/26720819_29871491970815738.jpeg?width=320
671,26590315,재규어 F-TYPE 3.0SC S 컨버터블 기본형,경기,"2,900만원",낮음,47구9474,14년07월(14년형),"106,265km",가솔린,오토,주황색,https://img.kbchachacha.com/IMG/carimg/l/img09/img2659/26590315_25833665044407368.jpeg?width=320
672,26448587,포르쉐 카이맨 (718) 2.0,전북,"4,850만원",적정,102가1644,17년12월(18년형),"82,155km",가솔린,오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2644/26448587_22354425359745645.jpeg?width=320
673,26720313,벤츠 AMG GT GT 4door 63 S 4MATIC+ 기본형,경기,"11,900만원",낮음,101루4197,21년11월(21년형),"24,900km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2672/26720313_29771715678723488.jpeg?width=320
674,26719309,BMW 8시리즈 (G15) M850i xDrive Gran Coupe 기본형,경기,"8,500만원",낮음,103머9696,22년10월(23년형),"37,621km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2671/26719309_29707249753875679.jpeg?width=320
675,26683417,벤츠 AMG GT GT 4door 43 4MATIC+ 기본형,경기,"7,350만원",적정,156두4745,21년05월(21년형),"62,602km",하이브리드(가솔린),오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img08/img2668/26683417_28314914638658535.jpeg?width=320
676,26066345,포르쉐 718 박스터 4.0 GTS,경기,"9,800만원",적정,340무4640,21년03월(21년형),"16,718km",가솔린,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img06/img2606/26066345_13109919144684586.jpg?width=320
677,26719126,포드 올뉴머스탱 GT 컨버터블 프리미엄,서울,"4,550만원",적정,114노3517,20년06월(20년형),"43,000km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2671/26719126_29691771199819159.jpg?width=320
678,26718825,BMW M시리즈 M2 쿠페 F87 (16~),경기,"3,250만원",낮음,53두0200,16년12월(17년형),"87,976km",가솔린,오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2671/26718825_30050959735778217.jpeg?width=320
679,26718732,벤츠 AMG GT GT,경기,"9,250만원",보통,114도7216,21년02월(20년형),"76,211km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2671/26718732_29618860054409040.jpeg?width=320
680,25908633,벤츠 뉴 SLK클래스 SLK350 SLK350,인천,990만원,적정,64우5655,07년05월(07년형),"137,414km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2590/25908633_9836343075942019.jpeg?width=320
681,24654583,포르쉐 718 박스터 2.5 S,경기,"6,959만원",적정,42보5152,18년03월(18년형),"98,951km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2465/24654583_13009757676795141.jpeg?width=320
682,25863225,닛산 370Z 쿠페,경기,"3,450만원",낮음,29무7096,20년11월(10년형),"125,344km",가솔린,수동,회색,https://img.kbchachacha.com/IMG/carimg/l/img06/img2586/25863225_8793938889932289.jpeg?width=320
683,26239180,포르쉐 박스터 S 3.4 987(09년~11년),대구,"3,799만원",적정,42부1795,11년04월(11년형),"86,205km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2623/26239180_16991829944439446.jpg?width=320
